turn,DQN,A2C,PPO
46482,116.20217857139538,98.30596428568738,115.15508928568157
47738,119.34407142853537,100.66396428568534,118.19137499996455
48994,122.47996428567538,103.09001785711182,121.20923214281896
50251,125.63998214281536,105.49801785710973,124.25617857138765
51507,128.81882142852677,107.86253571425054,127.26074999995637
52763,131.81964285709546,110.18810714281994,130.29923214281078
54019,134.67108928566432,112.46619642853224,133.354357142808
55276,137.4147142856618,114.77553571424453,136.3902499999481
56532,140.22619642851637,117.03237499995682,139.41914285708825
57788,142.83610714279973,119.32578571424048,142.4534821427998
59044,145.64871428565434,121.60712499995272,145.48107142851134
60301,148.37885714279471,123.93710714280779,148.53966071422286
61557,151.23391071422068,126.28658928566284,151.56424999993442
62813,154.00112499993244,128.64498214280363,154.5363035713603
64070,156.69987499993,130.94873214280156,157.560249999929
65326,159.49232142849888,133.2799999999424,160.53923214278342
66582,162.3729642856391,135.5593214285118,163.530821428495
67838,165.09982142849378,137.80010714279555,166.52771428563514
69095,167.8181607142056,140.10142857136498,169.52898214277528
70351,170.49171428563173,142.358678571363,172.5586964284868
71607,173.29789285705775,144.5883928570753,175.5517499999127
72864,176.01376785705529,146.82353571421618,178.51226785705285
74120,178.73303571419564,149.12319642849985,181.55841071419295
75376,181.4517499999075,151.345803571355,184.54914285704737
76632,184.16057142847646,153.59560714278157,187.61187499990174
77889,186.9172499999025,155.84755357135097,190.67624999989894
79145,189.65941071418573,158.03262499992042,193.73358928561044
80401,192.37203571418326,160.26269642848985,196.68110714275062
81657,195.15560714275216,162.51546428563066,199.64617857131938
82914,197.76937499989265,164.69680357134297,202.61253571417382
84170,200.4236785713188,166.85391071419815,205.57441071417114
85426,203.08705357131637,169.05749999991042,208.44528571416853
86683,205.7074999998854,171.2588928570513,211.44976785702298
87939,208.42648214274007,173.4596071427636,214.53166071416305
89195,211.1548928570233,175.66264285704727,217.48646428558894
90451,213.71655357130672,177.87274999990242,220.38476785701488
91708,216.45935714273278,180.05514285704328,223.31230357129792
92964,219.16171428558746,182.271178571327,226.2506249998667
94220,221.8281785712993,184.43133928561076,229.13746428557835
95477,224.60017857129682,186.59753571418022,232.05501785700426
96733,227.30703571415148,188.73008928560685,234.97712499985875
97989,229.97962499986335,190.83053571417636,237.98180357128462
99245,232.91537499986066,192.91221428560306,240.85974999985342
100502,235.62194642842965,194.96366071417262,243.76107142842218
101758,238.36071428557003,196.99866071417077,246.66032142841956
103014,241.09528571413898,199.00558928559752,249.54166071413124
104270,243.94980357127923,201.02662499988142,252.3619285712715
105527,246.6344642855625,203.05124999987956,255.23107142841175
106783,249.3333035712743,205.09692857130628,258.16189285698056
108039,252.08255357127186,207.17107142844725,261.0525357141208
109296,254.77791071412653,209.2820535713025,263.90585714268957
110552,257.3067857141242,211.3247678570149,266.79112499982983
111808,259.95626785697897,213.46648214272727,269.68410714268435
113064,262.7019821426908,215.56757142843963,272.5551249998246
114321,265.39816071411684,217.65416071415203,275.39791071410775
115577,268.08539285697157,219.7375892855787,278.1796785712481
116833,270.8028035712548,221.80773214271966,280.998374999817
118089,273.60739285696656,223.8434107141464,283.93071428552855
119346,276.3196428569641,225.87269642843026,286.723714285526
120602,278.9190892855331,227.88833928557128,289.56194642838057
121858,281.56885714267355,229.89074999985516,292.43641071409223
123115,284.26573214267114,231.8459999998534,295.26192857123254
124371,287.0949107140971,233.7659464284231,298.10691071408706
125627,289.72966071409473,235.67898214270707,300.9828928569416
126883,292.6078749998064,237.58246428556245,303.8029999997962
128140,295.3142499998039,239.46601785698934,306.7040535712221
129396,297.9890892855158,241.40664285698756,309.524249999791
130652,300.7186071426562,243.33173214270013,312.36655357121697
131909,303.426196428368,245.23066071412697,315.17833928550016
133165,306.1852678569369,247.11316071412526,318.04041071406897
134421,308.9349285712201,248.99899999983785,320.7934464283522
135677,311.71949999978904,250.84548214269333,323.5993392854925
