qucb,thomp,ucb
121.29225,50.508087,370.5545
67.35028,7.831428,54.50674
129.24112,86.54886,367.7356
78.87305,22.414776,120.66902
60.743088,7.6282015,61.590664
101.22885,9.0846405,117.01882
88.58876,16.049345,237.38524
75.57421,3.3588538,28.550257
84.846985,29.007517,128.17697
51.476852,6.86358,41.18148
48.95066,4.8950663,52.21404
119.181366,3.0559325,97.53518
94.28708,25.477777,300.908
123.27497,6.307091,63.070915
54.76828,11.351545,175.30531
115.60339,46.17193,280.90814
103.06334,7.66983,51.77135
106.040855,5.425346,56.226315
69.911964,10.456918,152.37222
89.65507,28.722658,163.52644
82.12083,13.862277,133.53409
47.11699,14.1350975,34.02894
93.774536,8.287052,56.700882
84.86985,6.3158956,58.816776
52.15316,12.371215,113.524086
128.37073,13.166228,103.95835
72.36541,10.097499,63.27766
106.51162,5.2345457,91.94593
56.273243,19.630201,84.01726
114.4392,96.09722,520.79315
71.73045,11.1887245,133.34506
51.69913,1.7233043,37.912697
57.912766,6.4347515,37.32156
76.21002,16.305399,59.90462
127.863434,14.396088,174.4544
57.301613,18.38982,78.889656
108.51328,6.7241135,111.063805
115.50121,8.595439,35.456184
132.98009,13.923128,85.243645
81.13394,12.828872,115.979935
95.7019,8.012252,49.408886
120.127785,19.50793,107.806984
91.06418,8.4710865,82.593094
48.751713,10.292028,45.5016
122.8285,5.1416583,33.13513
102.62613,27.37724,357.03415
56.03654,4.3583975,42.961346
63.6981,28.038054,175.5781
91.14569,153.55176,374.16266
93.99865,9.181263,55.524784
70.18797,29.24499,147.12479
113.17918,12.62695,147.35303
59.178043,18.208628,133.02414
58.930187,10.325375,144.68117
75.65481,49.52777,382.78
114.509834,29.184185,139.94345
58.483475,6.4981637,35.739902
54.574265,6.0638075,42.44665
50.32642,63.875843,220.12433
55.191555,6.1323953,44.153244
75.01607,10.467359,63.15306
61.75805,8.234406,32.937626
77.33985,14.37728,162.11623
53.37615,21.350458,112.21404
77.665504,2.5888503,25.02555
47.106777,7.8511295,42.919506
51.343952,3.42293,33.08832
74.462814,12.468193,63.72632
69.13076,15.3623905,99.41239
67.39323,8.1498785,68.3336
83.01662,8.880847,71.4329
50.709305,9.014987,37.186825
65.494965,1.4554436,37.841534
51.55829,50.787117,186.40305
64.53905,3.5855026,24.381418
103.53968,24.336248,62.61053
71.80358,4.7869053,27.923615
80.83756,101.19192,519.8557
70.43579,2.2575574,131.23933
105.69389,111.02016,605.9991
57.443325,41.744892,389.81497
101.45454,27.74825,84.54545
81.87748,9.1398115,65.50198
87.12598,19.547495,116.35413
84.27412,38.551823,319.04373
70.27575,5.4658914,40.603764
122.35869,9.1057625,48.943474
101.75908,29.35358,114.37025
73.08306,5.0843573,395.29962
123.4714,9.233973,77.82919
91.98694,58.838493,372.45963
102.27694,12.844081,38.53224
64.58018,18.022375,79.89919
56.14147,8.1093235,38.675236
