turn,Random,Greedy,EpsilonGreedy,UCB,ThompsonBernoulli
141,42.23160000000006,16.918199999999985,7.642800000000001,7.471799999999999,2.7858
142,42.53640000000006,17.033999999999985,7.6674000000000015,7.499999999999999,2.7882000000000002
143,42.82320000000006,17.14979999999998,7.696200000000002,7.522199999999999,2.7924000000000007
144,43.113000000000056,17.265599999999985,7.726800000000001,7.546199999999999,2.7948000000000004
145,43.41900000000006,17.381399999999978,7.754400000000001,7.5756,2.7984000000000004
146,43.731600000000064,17.497199999999978,7.782000000000002,7.602599999999999,2.8026000000000004
147,44.02440000000006,17.61299999999998,7.810200000000002,7.630799999999999,2.8056000000000005
148,44.329200000000064,17.72879999999998,7.843800000000002,7.655399999999998,2.8086
149,44.62620000000006,17.84459999999998,7.879200000000002,7.684199999999999,2.8116000000000003
150,44.92740000000007,17.96039999999997,7.908000000000002,7.705799999999999,2.817
151,45.22920000000006,18.076199999999975,7.932600000000002,7.729199999999999,2.8176000000000005
152,45.526800000000065,18.19199999999997,7.966800000000001,7.754999999999998,2.8206
153,45.82080000000006,18.307799999999972,7.997400000000002,7.782599999999999,2.8236000000000003
154,46.12020000000006,18.42359999999997,8.034000000000002,7.805399999999999,2.8278000000000003
155,46.40820000000007,18.53939999999997,8.063400000000001,7.823999999999999,2.8302000000000005
156,46.69680000000007,18.65519999999997,8.0958,7.847399999999999,2.832
157,46.98360000000007,18.77099999999997,8.125800000000002,7.867799999999999,2.8331999999999997
158,47.29200000000007,18.886799999999965,8.150400000000001,7.889999999999998,2.8368
159,47.584800000000065,19.002599999999962,8.174400000000002,7.913999999999999,2.8386000000000005
160,47.869800000000076,19.118399999999966,8.202600000000002,7.933799999999999,2.8434000000000004
161,48.181800000000074,19.234199999999962,8.2362,7.955999999999998,2.8482
162,48.47640000000007,19.349999999999962,8.269200000000001,7.9788,2.8512000000000004
163,48.78600000000007,19.46579999999996,8.2992,8.0064,2.8518000000000003
164,49.08600000000007,19.581599999999963,8.3244,8.025599999999999,2.8566000000000003
165,49.383000000000074,19.69739999999996,8.355600000000003,8.043599999999998,2.859
166,49.68540000000008,19.81319999999996,8.384400000000001,8.058599999999998,2.8608000000000002
167,50.00700000000008,19.928999999999956,8.4216,8.0766,2.8656
168,50.30460000000008,20.044799999999952,8.454,8.093399999999999,2.868
169,50.60340000000007,20.160599999999956,8.494800000000001,8.109599999999999,2.871
170,50.904000000000075,20.27639999999995,8.520600000000002,8.135999999999997,2.874
171,51.20100000000008,20.392199999999953,8.545200000000003,8.160599999999999,2.8776
172,51.52500000000008,20.507999999999953,8.571600000000002,8.184,2.88
173,51.82500000000009,20.62379999999995,8.605200000000002,8.2068,2.883
174,52.13040000000008,20.73959999999995,8.631,8.234399999999997,2.8866000000000005
