episode,A2C,DQN,PPO,QNN
287,181.755,22.46,200.305,155.35999999999999
288,177.70999999999998,22.685,209.195,155.75
289,175.20999999999998,22.5,212.92,156.49
290,172.215,22.905,219.04000000000002,155.85999999999999
291,167.79000000000002,22.884999999999998,224.40500000000003,156.245
292,164.145,23.330000000000002,228.35,157.385
293,160.73,23.185,234.13000000000002,158.51
294,157.73499999999999,23.07,239.205,159.32
295,154.695,22.925,246.24499999999998,162.57999999999998
296,150.23,23.09,254.565,163.745
297,146.07999999999998,23.5,256.06,165.37
298,142.5,23.985,260.59499999999997,163.52
299,138.87,24.215,268.36,167.54500000000002
300,134.31,24.4,274.78999999999996,170.85
301,128.74,24.4,281.46999999999997,172.175
302,123.4,24.115000000000002,285.2,172.145
303,119.05999999999999,23.695,288.755,174.89000000000001
304,113.715,23.695,291.93,173.68
305,110.525,23.315,294.24,174.20499999999998
306,107.67999999999999,23.325,302.16999999999996,176.18
307,105.58,23.669999999999998,309.84499999999997,177.20999999999998
308,104.6,23.275,311.91999999999996,178.76500000000001
309,103.28000000000002,22.98,318.87,179.575
310,102.69500000000001,22.52,324.235,180.135
311,103.795,22.945,327.24,180.885
312,102.835,23.015,337.09000000000003,182.24
313,103.335,23.125,340.575,181.8
314,103.12,22.965,349.055,182.82999999999998
315,102.625,22.72,351.865,180.89000000000001
316,102.785,22.765,357.55,183.065
317,103.49000000000001,22.48,364.46500000000003,183.995
318,103.845,21.744999999999997,371.21500000000003,185.66500000000002
319,104.955,21.715,377.235,184.095
320,104.69500000000001,21.31,382.425,183.14000000000001
321,105.30999999999999,21.02,388.125,183.315
322,105.43999999999998,20.975,395.95,182.465
323,107.35,21.005000000000003,402.395,183.04000000000002
324,109.78,20.805,409.51,185.07
325,110.81999999999998,21.335,414.88500000000005,182.985
326,112.13999999999999,21.475,417.43500000000006,183.515
327,114.295,21.27,420.735,184.74
328,115.915,21.544999999999998,426.88,183.38
329,117.955,22.095,431.395,182.91500000000002
330,119.77000000000001,22.169999999999998,434.73999999999995,185.365
331,119.96,22.125,441.81000000000006,186.435
332,121.30499999999999,22.0,441.895,189.20999999999998
333,122.8,21.95,445.51000000000005,191.155
334,122.89500000000001,21.994999999999997,448.125,192.67000000000002
335,123.845,22.11,451.48999999999995,196.29000000000002
336,124.37,21.845,452.575,195.51500000000001
337,124.85999999999999,22.015,454.02,197.135
338,127.17999999999999,22.145,455.21000000000004,197.78
339,128.8,22.395,457.91499999999996,200.76
340,132.23,22.725,461.21000000000004,202.31
341,135.29000000000002,23.1,463.56499999999994,200.255
342,140.115,23.175,465.11499999999995,203.225
343,143.12,23.07,465.84,203.34
344,144.095,23.259999999999998,469.34499999999997,205.60500000000002
345,147.11499999999998,22.919999999999998,473.03999999999996,209.34499999999997
346,149.5,22.73,476.035,207.48000000000002
347,152.05,22.69,480.16,207.725
348,155.295,22.475,481.975,209.78000000000003
349,158.45,22.455000000000002,483.61499999999995,212.10500000000002
350,164.13,22.955000000000002,485.605,213.85500000000002
351,169.16000000000003,22.9,484.86499999999995,213.86999999999998
352,174.44,22.910000000000004,487.26000000000005,211.98000000000002
353,177.965,22.835,489.55,210.795
354,182.275,22.98,489.83000000000004,211.23499999999999
355,186.78,23.0,493.13500000000005,211.54000000000002
356,192.065,23.125,495.275,213.73499999999999
357,195.31,23.075,497.76000000000005,212.91500000000002
358,199.675,23.095,498.525,212.36999999999998
359,203.91500000000002,22.705000000000002,498.555,212.6
360,204.57999999999998,22.255,498.555,213.11999999999998
361,203.575,22.485,498.555,215.94
362,204.035,22.46,497.765,214.90500000000003
363,204.355,22.45,497.765,215.555
364,204.65,22.485,497.765,216.435
365,202.875,22.785,497.765,215.54500000000002
366,201.185,23.14,497.765,219.92
367,198.34,23.195,497.765,220.475
368,195.925,23.43,497.765,219.99499999999998
369,192.70499999999998,22.884999999999998,497.765,218.57
370,187.975,22.3,497.765,216.25
371,185.41,22.52,499.21000000000004,216.51500000000001
372,180.43,22.835,499.21000000000004,218.73499999999999
373,177.51000000000002,22.98,499.21000000000004,220.205
374,174.76500000000001,22.915,499.21000000000004,220.54000000000002
375,172.945,23.009999999999998,499.21000000000004,220.275
376,170.535,22.78,499.21000000000004,218.64000000000001
377,170.605,22.5,499.21000000000004,220.57
378,169.005,22.6,499.21000000000004,221.59
379,168.6,22.865000000000002,499.21000000000004,222.465
380,168.34,22.935,499.21000000000004,223.23499999999999
381,170.44,22.75,499.21000000000004,223.615
382,169.33999999999997,22.65,500.0,225.32000000000002
383,169.115,22.9,500.0,225.185
384,171.125,22.869999999999997,500.0,224.52000000000004
385,171.075,22.7,500.0,225.65
386,172.365,22.57,500.0,224.795
387,174.84,22.369999999999997,500.0,224.48000000000002
388,175.4,22.25,500.0,224.18
389,176.65,22.765,500.0,228.25
390,177.44,22.825,500.0,228.10999999999999
391,177.175,22.19,500.0,226.17000000000002
392,178.63500000000002,21.215,500.0,224.295
393,179.645,21.025,500.0,224.715
394,180.555,20.869999999999997,500.0,224.385
395,180.33499999999998,20.685,500.0,225.35
396,180.325,20.815,500.0,226.24
397,177.48,20.8,500.0,225.17999999999998
398,175.425,20.54,500.0,225.935
399,171.005,20.485,500.0,227.535
400,168.74499999999998,21.055,500.0,228.59
401,166.385,20.8,500.0,231.295
402,164.35999999999999,20.85,500.0,232.185
403,160.915,20.44,500.0,232.59499999999997
404,158.18,20.41,500.0,233.65
405,158.345,20.4,500.0,235.06
406,157.18,20.104999999999997,500.0,234.24499999999998
407,155.02,19.93,500.0,237.48000000000002
408,153.255,19.925,500.0,241.67
409,152.22,19.455000000000002,500.0,239.965
410,150.73499999999999,19.7,500.0,243.59499999999997
411,149.76500000000001,19.845,500.0,248.48499999999999
412,148.505,20.54,500.0,249.84499999999997
413,147.39000000000001,20.86,500.0,251.75
414,145.95,20.95,500.0,252.92
415,145.215,21.134999999999998,500.0,253.91
416,144.135,21.28,500.0,253.00500000000002
417,145.1,21.235,500.0,256.04
418,144.26,21.365000000000002,500.0,255.315
419,145.365,21.285,500.0,251.46999999999997
420,145.82999999999998,21.259999999999998,500.0,250.465
421,146.37,21.25,500.0,246.92000000000002
422,147.975,21.565,500.0,244.98000000000002
423,149.5,21.85,500.0,246.76999999999998
424,150.22,21.69,500.0,247.84
425,151.03000000000003,22.155,500.0,245.455
426,150.905,22.419999999999998,500.0,245.85999999999999
427,151.02,22.61,500.0,243.49499999999998
428,151.32999999999998,22.445,500.0,241.99
429,152.095,22.61,500.0,243.175
430,153.195,22.435,500.0,243.58499999999998
431,154.495,22.655,500.0,240.375
432,155.77,22.47,500.0,239.425
433,156.60999999999999,22.744999999999997,500.0,239.64499999999998
434,157.78,23.0,500.0,240.84
435,158.54000000000002,22.555,500.0,241.545
436,159.465,22.855,500.0,242.41
437,158.965,23.1,500.0,242.925
438,158.82999999999998,23.215,500.0,241.61999999999998
439,157.675,23.36,500.0,243.96999999999997
440,156.1,23.05,500.0,245.25500000000002
441,154.32,23.0,500.0,245.89000000000001
442,152.445,22.78,500.0,245.285
443,150.23,22.84,500.0,245.04000000000002
444,147.935,23.29,500.0,242.17
445,146.13,22.715,500.0,244.07
446,145.41000000000003,22.895,500.0,245.325
447,144.57999999999998,23.05,500.0,245.365
448,143.95499999999998,23.294999999999998,500.0,245.275
449,142.275,23.6,500.0,244.35499999999996
450,140.685,23.665,500.0,242.43
451,138.915,23.46,500.0,242.815
452,136.575,23.11,500.0,242.84499999999997
453,134.785,22.869999999999997,500.0,240.61999999999998
454,133.70499999999998,22.565,500.0,237.86999999999998
455,132.22,22.869999999999997,500.0,234.29000000000002
456,130.82999999999998,22.615000000000002,500.0,233.885
457,130.18,22.5,500.0,230.09499999999997
458,129.94,22.835,500.0,234.455
459,130.10999999999999,23.35,500.0,233.01
460,130.895,23.11,500.0,232.64000000000001
461,131.575,23.23,500.0,232.805
462,131.95,23.4,500.0,233.90500000000003
463,134.225,23.404999999999998,500.0,231.60999999999999
464,135.655,23.1,500.0,231.25
465,137.595,23.515,500.0,229.4
466,139.685,23.115000000000002,500.0,230.33
467,141.59,22.82,500.0,228.41500000000002
468,144.06,22.675,500.0,226.50500000000002
469,147.03,22.365000000000002,500.0,226.10500000000002
470,149.60999999999999,22.405,500.0,224.63000000000002
471,152.69,22.72,500.0,225.38000000000002
472,156.57,23.0,500.0,227.16500000000002
473,159.89499999999998,22.935,500.0,226.01999999999998
474,162.715,22.895,500.0,228.035
475,165.785,22.990000000000002,500.0,228.60999999999999
476,168.365,22.830000000000002,500.0,229.125
477,171.185,22.655,500.0,229.09
478,173.8,22.025,500.0,226.75
479,177.1,21.46,500.0,228.23499999999999
480,178.98,21.515,500.0,227.21999999999997
481,181.07,21.544999999999998,500.0,226.85999999999999
482,182.34,21.625,500.0,225.475
483,183.73000000000002,21.31,500.0,227.83499999999998
484,184.845,21.4,500.0,228.84
485,184.73499999999999,20.9,500.0,228.46999999999997
486,184.70999999999998,20.925,500.0,225.70999999999998
487,184.85999999999999,21.175,500.0,227.59
488,184.85,21.585,500.0,227.67
489,184.51500000000001,21.685,500.0,228.55
490,184.245,21.4,500.0,230.305
491,183.04000000000002,21.175,500.0,230.115
492,181.43,21.265,500.0,231.66
493,179.75,21.31,500.0,233.39499999999998
494,177.54500000000002,21.25,500.0,233.64500000000004
495,175.475,21.27,500.0,234.055
496,173.5,21.445,500.0,233.93
497,171.76,22.185,500.0,235.20999999999998
498,169.91,22.259999999999998,500.0,235.08
499,167.355,22.565,500.0,233.20999999999998
500,166.23,22.52,500.0,233.44
501,165.555,22.57,500.0,234.185
502,165.55,22.44,500.0,235.955
503,163.805,22.5,500.0,234.41
504,163.62,22.405,500.0,235.115
505,164.45999999999998,22.315,500.0,236.625
506,164.41,22.48,500.0,238.7
507,164.305,22.294999999999998,500.0,239.74
508,164.245,21.85,500.0,240.4
509,164.495,22.55,500.0,239.7
510,164.215,22.665,500.0,239.06
511,164.14000000000001,22.8,500.0,238.68
512,164.07,22.695,500.0,237.52000000000004
513,164.325,22.44,500.0,238.67
514,164.755,23.1,500.0,237.42
515,165.385,22.880000000000003,500.0,240.11999999999998
516,165.99,22.665,500.0,240.60500000000002
517,166.155,22.205000000000002,500.0,239.17
518,166.07,22.045,500.0,236.715
519,166.20999999999998,21.96,500.0,236.76999999999998
520,166.03,21.915,500.0,238.455
521,165.475,21.965,500.0,238.125
522,164.79500000000002,22.15,500.0,237.23499999999999
523,164.375,22.275,500.0,235.29000000000002
524,164.275,22.255000000000003,500.0,233.435
525,164.04000000000002,22.72,500.0,231.975
526,164.66,22.505000000000003,500.0,231.49
527,165.10500000000002,22.645,500.0,230.635
528,165.02,22.84,500.0,230.67
529,163.71999999999997,22.105,500.0,229.96999999999997
530,163.785,22.065,500.0,230.05
531,163.20999999999998,22.18,500.0,230.76
532,163.23499999999999,22.09,500.0,228.88000000000002
533,163.535,22.34,500.0,227.11999999999998
534,163.855,21.69,500.0,226.425
535,164.10500000000002,21.915,500.0,225.91500000000002
536,163.69,22.259999999999998,500.0,226.72999999999996
537,164.175,22.435,500.0,227.51500000000001
538,165.965,22.915,500.0,231.51500000000001
539,166.81,22.675,500.0,232.445
540,168.7,23.14,500.0,231.4
541,169.645,23.175,500.0,233.06
542,170.47,22.93,500.0,233.545
543,171.785,22.994999999999997,500.0,238.16500000000002
544,172.85,23.055,500.0,238.91500000000002
545,172.42,22.755000000000003,500.0,239.91500000000002
546,172.74,22.884999999999998,500.0,238.23000000000002
547,172.885,22.73,500.0,238.76500000000001
548,173.85999999999999,23.169999999999998,500.0,238.8
549,175.22,23.365000000000002,500.0,240.885
550,175.27,23.755000000000003,500.0,242.13000000000002
551,175.7,23.580000000000002,500.0,242.51999999999998
552,175.815,23.490000000000002,500.0,244.25500000000002
553,175.58499999999998,23.380000000000003,500.0,244.66500000000002
554,175.63,23.31,500.0,248.05
555,175.40500000000003,23.15,500.0,245.92
556,176.095,23.025,500.0,245.125
557,175.755,22.56,500.0,244.41
558,174.625,22.25,500.0,241.96999999999997
559,174.33499999999998,22.14,500.0,242.0
560,173.51500000000001,21.955000000000002,500.0,241.39499999999998
561,173.35999999999999,21.925,500.0,240.965
562,173.94,21.82,500.0,240.935
563,174.195,21.715,500.0,239.78000000000003
564,173.68,21.73,500.0,238.575
565,173.79000000000002,21.935,500.0,238.07
566,173.10999999999999,21.955,500.0,239.925
567,172.95499999999998,21.84,500.0,240.5
568,172.75,21.509999999999998,500.0,240.10500000000002
569,172.715,21.509999999999998,500.0,239.705
570,175.03,21.15,500.0,238.35500000000002
571,177.465,20.945,500.0,238.525
572,179.76999999999998,20.825,500.0,237.705
