n,p
832,0.475
833,0.506
834,0.5
835,0.499
836,0.498
837,0.496
838,0.509
839,0.491
840,0.48
841,0.491
842,0.519
843,0.503
844,0.473
845,0.471
846,0.495
847,0.479
848,0.516
849,0.52
850,0.49
851,0.472
852,0.526
853,0.485
854,0.48
855,0.487
856,0.507
857,0.48
858,0.512
859,0.493
860,0.5
861,0.516
862,0.519
863,0.48
864,0.505
865,0.486
866,0.516
867,0.465
868,0.474
869,0.509
870,0.491
871,0.495
872,0.505
873,0.496
874,0.512
875,0.494
876,0.489
877,0.458
878,0.488
879,0.516
880,0.507
881,0.488
882,0.506
883,0.504
884,0.498
885,0.488
886,0.476
887,0.512
888,0.491
889,0.482
890,0.492
891,0.511
892,0.477
893,0.492
894,0.485
895,0.493
896,0.476
897,0.496
898,0.493
899,0.495
900,0.503
901,0.472
902,0.514
903,0.519
904,0.492
905,0.481
906,0.492
907,0.493
908,0.519
909,0.515
910,0.516
911,0.504
912,0.509
913,0.472
914,0.496
915,0.501
916,0.517
917,0.517
918,0.512
919,0.506
920,0.485
921,0.472
922,0.491
923,0.476
924,0.491
925,0.524
926,0.5
927,0.502
928,0.502
929,0.499
930,0.495
931,0.473
932,0.514
933,0.499
934,0.479
935,0.493
936,0.503
937,0.461
938,0.501
939,0.482
940,0.507
941,0.472
942,0.511
943,0.493
944,0.498
945,0.495
946,0.507
947,0.481
948,0.514
949,0.484
950,0.506
951,0.509
952,0.498
953,0.489
954,0.463
955,0.46
956,0.496
957,0.481
958,0.477
959,0.503
960,0.5
961,0.506
962,0.526
963,0.502
964,0.477
965,0.497
966,0.477
967,0.514
968,0.492
969,0.507
970,0.49
971,0.497
972,0.497
973,0.496
974,0.483
975,0.512
976,0.484
977,0.498
978,0.507
979,0.512
980,0.478
981,0.476
982,0.517
983,0.478
984,0.517
985,0.478
986,0.465
987,0.478
988,0.499
989,0.493
990,0.5
991,0.518
992,0.495
993,0.504
994,0.505
995,0.501
996,0.504
997,0.503
998,0.488
